% of Total,% of Total
Contracts — العقود,Contracts — العقود
Conversion,Conversion
Convert,Convert
Convert leads to members or booking customers.,Convert leads to members or booking customers.
Convert to Customer,Convert to Customer
Convert to Membership,Convert to Membership
Convert tour visitors into members or booking customers directly from the tour record.,Convert tour visitors into members or booking customers directly from the tour record.
Convert {0} to a Customer?,Convert {0} to a Customer?
Converted,Converted
Converted Customer,Converted Customer
Converted Membership,Converted Membership
Converted to Membership,Converted to Membership
Converting to membership...,Converting to membership...
Coordinates / الإحداثيات,Coordinates / الإحداثيات
Corporate,Corporate
Cost,Cost
"Cost, revenue, pricing masked per role","Cost, revenue, pricing masked per role"
Could not generate payment link. Please try again.,Could not generate payment link. Please try again.
Count,Count
Country / البلد,Country / البلد
Cover Image,Cover Image
Create & Check In,Create & Check In
Create Account,Create Account
"Create and manage contracts for memberships, space rentals, and services.","Create and manage contracts for memberships, space rentals, and services."
Create and manage training sessions for member skill development.,Create and manage training sessions for member skill development.
Create Booking,Create Booking
"Create contract templates with standard terms for memberships, space rental, and services.","Create contract templates with standard terms for memberships, space rental, and services."
"Create events with capacity limits, RSVP, and space allocation.","Create events with capacity limits, RSVP, and space allocation."
"Create internal documentation for space policies, procedures, and member guidelines.","Create internal documentation for space policies, procedures, and member guidelines."
"Create membership plans with different access levels, amenities, and pricing.","Create membership plans with different access levels, amenities, and pricing."
"Create rules that adjust pricing based on peak hours, membership tier, duration, or advance booking.","Create rules that adjust pricing based on peak hours, membership tier, duration, or advance booking."
Create Space Types first to use the scheduler.,Create Space Types first to use the scheduler.
Create your first membership plan to get started.,Create your first membership plan to get started.
Created from split of {0} at {1},Created from split of {0} at {1}
Creating a Booking,Creating a Booking
Creating day pass...,Creating day pass...
Creating membership...,Creating membership...
Creating your account...,Creating your account...
Creating your day pass...,Creating your day pass...
Creative,Creative
Credit,Credit
Credit Flow,Credit Flow
Credit Transaction,Credit Transaction
Credit Transactions — معاملات الرصيد,Credit Transactions — معاملات الرصيد
Credit Wallet,Credit Wallet
Credit Wallet — محفظة الرصيد,Credit Wallet — محفظة الرصيد
Credits,Credits
credits,credits
"Credits can be added via online payment, manual adjustment, or membership plan allocation.","Credits can be added via online payment, manual adjustment, or membership plan allocation."
CRM & Leads,CRM & Leads
CRM & Sales,CRM & Sales
CRM Pipeline,CRM Pipeline
CRM pipeline management,CRM pipeline management
CRM — إدارة العملاء,CRM — إدارة العملاء
CRM — العملاء,CRM — العملاء
Cross-Location Search,Cross-Location Search
Cross-Location Space Search,Cross-Location Space Search
Cross-references,Cross-references
Currency,Currency
Currency / العملة,Currency / العملة
Current,Current
Current Attendees / الحضور الحالي,Current Attendees / الحضور الحالي
Current Member,Current Member
Current Occupancy / الإشغال الحالي,Current Occupancy / الإشغال الحالي
Current Occupant,Current Occupant
Current plan,Current plan
Current space,Current space
Currently Occupied,Currently Occupied
Custom,Custom
Customer Group,Customer Group
Customer ID,Customer ID
Customer Name,Customer Name
Customer Type,Customer Type
"Customize colors, logo, and layout for the member-facing portal.","Customize colors, logo, and layout for the member-facing portal."
Daily,Daily
Daily Price,Daily Price
Daily Rate,Daily Rate
Daily Snapshots,Daily Snapshots
"Daily/weekly/monthly revenue breakdown by branch, space type, and payment method.","Daily/weekly/monthly revenue breakdown by branch, space type, and payment method."
Danger Color,Danger Color
Dashboard,Dashboard
Dashboard KPIs,Dashboard KPIs
Date,Date
Date Format,Date Format
Date From,Date From
Date Range,Date Range
Date Range condition requires both start and end dates,Date Range condition requires both start and end dates
Date start must be before date end,Date start must be before date end
Date To,Date To
Date — التاريخ,Date — التاريخ
Date:,Date:
day,day
Day of Week,Day of Week
Day of Week condition requires a day selection,Day of Week condition requires a day selection
Day Pass,Day Pass
Day Pass & Trials / تصريح اليوم والتجربة,Day Pass & Trials / تصريح اليوم والتجربة
Day Pass Count / عدد التصاريح اليومية,Day Pass Count / عدد التصاريح اليومية
Day Pass Created!,Day Pass Created!
Day pass date cannot be in the past,Day pass date cannot be in the past
Day pass is not checked in,Day pass is not checked in
Day pass issuance,Day pass issuance
Day pass must be Active to check in (current: {0}),Day pass must be Active to check in (current: {0})
Day Pass QR,Day Pass QR
Day Pass Revenue / إيرادات التصاريح اليومية,Day Pass Revenue / إيرادات التصاريح اليومية
Day pass status is {0} — cannot check in,Day pass status is {0} — cannot check in
Day Pass System,Day Pass System
Day Pass {0} created for {1},Day Pass {0} created for {1}
Day Pass {0} not found,Day Pass {0} not found
Day Pass {0} — {1} ({2}),Day Pass {0} — {1} ({2})
Day Pass — تصاريح اليوم,Day Pass — تصاريح اليوم
Day Passes,Day Passes
Day passes provide single-day access without a full membership.,Day passes provide single-day access without a full membership.
days,days
Dear,Dear
Debit,Debit
Decline,Decline
Declined,Declined
Dedicated Desk,Dedicated Desk
Dedicated Desk — مكتب مخصص,Dedicated Desk — مكتب مخصص
Default Branch / الفرع الافتراضي,Default Branch / الفرع الافتراضي
Default Currency,Default Currency
Default Day Pass Rate / سعر التصريح الافتراضي,Default Day Pass Rate / سعر التصريح الافتراضي
Default Gateway,Default Gateway
Default Icon Size,Default Icon Size
Default Instructor,Default Instructor
"Define all available amenities — WiFi, projector, printer, coffee, parking, lockers, etc.","Define all available amenities — WiFi, projector, printer, coffee, parking, lockers, etc."
"Define membership tiers with different access levels, credit allowances, and amenity bundles.","Define membership tiers with different access levels, credit allowances, and amenity bundles."
"Define which documentation entries must be read before this one, creating a structured learning path.","Define which documentation entries must be read before this one, creating a structured learning path."
Delivery,Delivery
Demo Day,Demo Day
Depends On,Depends On
Deposit,Deposit
Deposit / تأمين,Deposit / تأمين
Depth,Depth
Depth — العمق,Depth — العمق
Description,Description
Description (Arabic) / الوصف بالعربية,Description (Arabic) / الوصف بالعربية
Description / الوصف,Description / الوصف
Design Config — إعدادات التصميم,Design Config — إعدادات التصميم
Design Configuration,Design Configuration
Details,Details
Details / التفاصيل,Details / التفاصيل
Directory,Directory
Disable Auto-Renew,Disable Auto-Renew
Discount %,Discount %
Discount % / نسبة الخصم,Discount % / نسبة الخصم
Discussion,Discussion
Display / العرض,Display / العرض
Document (Back) / المستند (وجه خلفي),Document (Back) / المستند (وجه خلفي)
